,Unnamed: 0.1,Unnamed: 0,raceId,driverId,constructorId,driverExp,driverRel,driverForm,constructorForm,qualifying,position
0,0,0,841,20,9,62,0.6451612903225806,93.0,148.0,1,1
1,1,1,841,1,1,71,0.7605633802816901,58.0,107.0,2,2
2,2,2,841,808,4,19,0.368421052631579,8.0,36.0,6,3
3,3,3,841,4,6,159,0.7106918238993711,86.0,106.0,5,4
4,4,4,841,17,9,159,0.4528301886792453,55.0,148.0,3,5
5,5,5,841,18,1,191,0.4712041884816754,49.0,107.0,4,6
6,6,6,841,13,6,135,0.5703703703703704,20.0,106.0,8,7
7,7,7,841,67,5,36,0.3888888888888888,1.0,3.0,10,8
8,8,8,841,16,10,71,0.2676056338028169,2.0,10.0,16,9
9,9,9,841,814,10,0,0.5,0.0,10.0,14,10
10,10,10,841,153,5,27,0.3703703703703703,2.0,3.0,12,11
11,11,11,841,2,4,173,0.3583815028901734,6.0,36.0,18,12
12,12,12,841,15,205,192,0.375,0.0,0.0,20,13
13,13,13,841,816,166,0,0.5,0.0,0.0,22,14
14,26,26,26,26,26,26,26,26,26,26,26
15,26,26,26,26,26,26,26,26,26,26,26
16,26,26,26,26,26,26,26,26,26,26,26
17,26,26,26,26,26,26,26,26,26,26,26
18,26,26,26,26,26,26,26,26,26,26,26
19,26,26,26,26,26,26,26,26,26,26,26
20,26,26,26,26,26,26,26,26,26,26,26
21,26,26,26,26,26,26,26,26,26,26,26
22,22,22,842,20,9,63,0.6507936507936508,100.0,150.0,1,1
23,23,23,842,18,1,192,0.4739583333333333,45.0,121.0,4,2
24,24,24,842,2,4,174,0.3563218390804598,6.0,45.0,6,3
25,25,25,842,17,9,160,0.45625,50.0,150.0,3,4
26,26,26,842,13,6,136,0.5735294117647058,22.0,95.0,7,5
27,27,27,842,4,6,160,0.7125,73.0,95.0,5,6
28,28,28,842,155,15,22,0.409090909090909,11.0,17.0,10,7
29,29,29,842,1,1,72,0.7638888888888888,76.0,121.0,2,8
30,30,30,842,30,131,142,0.8028169014084507,26.0,46.0,11,9
31,31,31,842,814,10,1,0.0,1.0,11.0,14,10
32,32,32,842,16,10,72,0.2638888888888888,2.0,11.0,17,11
33,33,33,842,3,131,90,0.5555555555555556,20.0,46.0,9,12
34,34,34,842,67,5,37,0.3783783783783784,5.0,7.0,12,13
35,35,35,842,153,5,28,0.3571428571428571,2.0,7.0,13,14
36,36,36,842,5,205,72,0.4722222222222222,0.0,0.0,19,15
37,37,37,842,10,166,57,0.3859649122807017,0.0,0.0,21,16
38,38,38,842,808,4,20,0.4,23.0,45.0,8,17
39,26,26,26,26,26,26,26,26,26,26,26
40,26,26,26,26,26,26,26,26,26,26,26
41,26,26,26,26,26,26,26,26,26,26,26
42,26,26,26,26,26,26,26,26,26,26,26
43,26,26,26,26,26,26,26,26,26,26,26
44,26,26,26,26,26,26,26,26,26,26,26
45,26,26,26,26,26,26,26,26,26,26,26
46,46,46,843,1,1,73,0.7671232876712328,70.0,121.0,3,1
47,47,47,843,20,9,64,0.65625,100.0,144.0,1,2
48,48,48,843,17,9,161,0.4596273291925465,44.0,144.0,18,3
49,49,49,843,18,1,193,0.4766839378238342,51.0,121.0,2,4
50,50,50,843,3,131,91,0.5494505494505495,20.0,40.0,4,5
51,51,51,843,13,6,137,0.5766423357664234,32.0,98.0,6,6
52,52,52,843,4,6,161,0.7142857142857143,66.0,98.0,5,7
53,53,53,843,30,131,143,0.8041958041958042,20.0,40.0,14,8
54,54,54,843,808,4,21,0.3809523809523809,23.0,60.0,10,9
55,55,55,843,155,15,23,0.4347826086956522,11.0,13.0,13,10
56,56,56,843,814,10,2,0.5,2.0,12.0,8,11
57,57,57,843,2,4,175,0.36,17.0,60.0,16,12
58,58,58,843,22,3,195,0.6,6.0,11.0,15,13
59,59,59,843,67,5,38,0.368421052631579,4.0,6.0,9,14
60,60,60,843,16,10,73,0.2602739726027397,2.0,12.0,11,15
61,61,61,843,5,205,73,0.4657534246575342,0.0,0.0,19,16
62,62,62,843,815,15,2,0.0,0.0,13.0,12,17
63,63,63,843,813,3,2,0.0,0.0,11.0,17,18
64,64,64,843,15,205,194,0.3711340206185567,0.0,0.0,20,19
65,65,65,843,816,166,2,0.0,0.0,0.0,21,20
66,66,66,843,10,166,58,0.3793103448275862,0.0,0.0,22,21
67,67,67,843,24,164,65,0.2615384615384615,8.0,0.0,23,22
68,68,68,843,39,164,21,0.0,0.0,0.0,24,23
69,26,26,26,26,26,26,26,26,26,26,26
70,70,70,844,20,9,65,0.6615384615384615,118.0,177.0,1,1
71,71,71,844,17,9,162,0.4629629629629629,59.0,177.0,2,2
72,72,72,844,4,6,162,0.7160493827160495,47.0,72.0,5,3
73,73,73,844,1,1,74,0.7702702702702703,77.0,140.0,4,4
74,74,74,844,3,131,92,0.5543478260869565,30.0,42.0,3,5
75,75,75,844,18,1,194,0.479381443298969,63.0,140.0,6,6
76,76,76,844,2,4,176,0.3636363636363636,15.0,52.0,9,7
